,social,assertive,energetic,Kind,warm,polite,accomdating,organised,Strong,Purposeful,determined,creative,imaginative,Insightful
,,,,,,,,,will,,,,,
Socail,1,0.5192.                                       ,0.1356.,-0.0226.,ÿ-0.0609.,-0.0511.,0.3797,0.1815,0.2785.,0.2785.,0.0551.,ÿ0.1356.,0,ÿ-0.0456
assertive,0.5192,1,-0.0296.,-0.017.,-0.0458.,ÿ-0.0384,0.2343.,ÿ-0.0241,-0.017.,ÿÿ-0.017.,ÿ-0.0458.,0.1957.,0,ÿ0.3572
energetic,0.1356,-0.0296,1,-0.011.,-0.0296,-0.0248,ÿ-0.0461.,0.8139.,0.5737.,ÿ0.5737.,0.1957.,ÿ0.3206.,0,ÿ0.273.
Kind,-0.0226,-0.017,-0.011.,1,ÿ-0.017.,-0.0142.,ÿ0.2379.,-0.0089.,-0.0063.,-0.0063.,-0.017.,ÿ-0.011.,0,ÿ0.4953
warm,-0.06,-0.0458,-0.0296,ÿ-0.017.,1,0.8397.,0.6417.,ÿ-0.0241.,ÿ-0.017.,ÿ-0.017.,-0.0458,-0.0296.,0,-0.0343.
,,,,,,,,,,,,,,
polite,-0.051,-0.0384,-0.0248,-0.0142.,0.8397.,1,ÿ0.5388,-0.0202.,-0.0142.,-0.0142.,-0.0384.,-0.0248.,0,-0.0288.
,,,,,,,,,,,,,,
accomdating,0.3797,0.2343,ÿ-0.0461.,ÿ0.2379.,0.6417.,ÿ0.5388,1,-0.0375.,ÿ-0.0264,-0.0264.,-0.0713.,0.1075.,0,ÿ0.3469.
organised,0.1815,-0.0241,0.8139.,-0.0089.,ÿ-0.0241.,-0.0202.,-0.0375.,1,ÿ0.7049.,0.7049,ÿ0.251.,0.3992,0,-0.018.
Strong,0.2785,-0.017,0.5737.,-0.0063.,ÿ-0.017.,-0.0142.,ÿ-0.0264,ÿ0.7049.,1,1,0.3708,-0.011,0,-0.0127
will,,,,,,,,,,,,,,
purposeful,0.2785,-0.017,ÿ0.5737.,-0.0063.,ÿ-0.017.,-0.0142.,-0.0264.,0.7049,1,1,0.3708,ÿ-0.011.,0,-0.0127
,,,,,,,,,,,,,,
determined,0.0551,-0.045,0.1957.,-0.017.,-0.0458,-0.0384.,-0.0713.,ÿ0.251,0.3708.,0.3708,1,-0.0296,0,-0.0343
creative,0.1356,0.1957,0.3206,ÿ-0.011.,-0.0296.,-0.0248.,0.1075.,0.3992,-0.011,ÿ-0.011.,-0.0296,1,0,-0.0221.
maginative,0,0,0,0,0,0,0,0,0,0,0,0,1,0
curious,-0.0456,0.3572,ÿ0.273.,ÿ0.4953,-0.0343,-0.0288,ÿ0.3469.,-0.018.,-0.0127,-0.0127,-0.0343,-0.0221.,0,1
,,,,,,,,,,,,,,
